iter	RMSE
269	0.1845303022
270	0.1844179215
271	0.1842373225
272	0.1841304446
273	0.1840262836
274	0.1839736044
275	0.1838652369
276	0.1837301639
277	0.1836446521
278	0.1833709514
279	0.1832991913
280	0.1827781054
281	0.1825925609
282	0.1825317151
283	0.1823743501
284	0.1822896474
285	0.1821220756
286	0.1817395834
287	0.1814985942
288	0.181349668
289	0.1813127737
290	0.181228595
291	0.1811381976
292	0.1810701769
293	0.1809395777
294	0.1808418107
295	0.180780194
296	0.1806566906
297	0.1804503011
298	0.1803300814
299	0.1801283616
300	0.1799923328
301	0.179907655
302	0.1795985321
303	0.1794104599
304	0.1792950971
305	0.1791517469
306	0.1790581251
307	0.17883849
308	0.1786583149
309	0.1785534408
310	0.1781090207
311	0.1779121041
312	0.1778555059
313	0.1777849899
314	0.1776880625
315	0.1776367564
316	0.1774827738
317	0.1773101994
318	0.1772100218
319	0.1771296214
320	0.1770907803
321	0.1769654744
322	0.1769076902
323	0.1768036523
324	0.1765974996
325	0.1765432653
326	0.1764625169
327	0.1764193311
328	0.1763578536
329	0.1762981445
330	0.1762137043
331	0.1761766814
332	0.1760136007
333	0.1758464021
334	0.1757128997
335	0.1756506138
336	0.1755334364
337	0.1752810421
338	0.1752109028
339	0.1750278216
340	0.1749936083
341	0.1749667058
342	0.1749297847
343	0.1748079482
344	0.174750599
345	0.1746551597
346	0.1746236547
347	0.174589224
348	0.1744745609
349	0.1744296536
350	0.1744120057
351	0.174314285
352	0.1742215504
353	0.174110077
354	0.1740678262
355	0.1740297712
356	0.1738175289
357	0.1737837635
358	0.1737022496
359	0.1736706152
360	0.1736236469
361	0.173602001
362	0.1735184843
363	0.1732832146
364	0.1730680453
365	0.1730388309
366	0.1729964917
367	0.1727056866
368	0.172641229
369	0.1725512491
370	0.1724975886
371	0.1724669249
372	0.1724228051
373	0.1723951081
374	0.1723474967
375	0.1723151913
376	0.1722015626
377	0.1721777666
378	0.1721295786
379	0.1721063825
380	0.172083225
381	0.1719096161
382	0.1718826522
383	0.1718307277
384	0.1717471137
385	0.1716304667
386	0.1715786079
387	0.1715531444
388	0.1714630734
389	0.1712149698
390	0.1710194293
391	0.1709989281
392	0.1709669685
393	0.170845503
394	0.1707436591
395	0.1707167464
396	0.170683794
397	0.170584964
398	0.1704064541
399	0.1703099181
400	0.1702863951
401	0.1701487303
402	0.1701333199
403	0.1701134293
404	0.170037968
405	0.1697334922
406	0.1697065587
407	0.1696752355
408	0.1695953133
409	0.1695290132
410	0.1695147104
411	0.1694989787
412	0.1693231427
413	0.1692979695
414	0.1691512263
415	0.1691316494
416	0.1691098686
417	0.1690814687
418	0.1690390212
419	0.1689819868
420	0.1689660224
421	0.1689483003
422	0.1689235258
423	0.1688490498
424	0.1687859446
425	0.1687310201
426	0.1687039452
427	0.1686663279
428	0.1686442808
429	0.1685626093
430	0.1683922189
431	0.1683275093
432	0.1683076342
433	0.1682947009
434	0.1682828487
435	0.1682730345
436	0.1682325819
437	0.1681031608
438	0.1680953667
439	0.1680670411
440	0.1680469312
441	0.1679931061
442	0.1678774582
443	0.1678668677
444	0.1678566546
445	0.167839011
446	0.1678184145
447	0.1677855813
448	0.1677527647
449	0.1677362724
450	0.1674749258
451	0.1674641271
452	0.1674547227
453	0.1674447641
454	0.1672784288
455	0.167273121
456	0.1670378493
457	0.1670292142
458	0.1668873245
459	0.1668796587
460	0.1668716581
461	0.1668551994
462	0.166762589
463	0.1667054827
464	0.1666900886
465	0.1665837187
466	0.1665688532
467	0.1663545781
468	0.1662530535
469	0.166229709
470	0.1661924705
471	0.1661816388
472	0.1661734226
473	0.1661628253
474	0.1661467544
475	0.1660257148
476	0.1659004977
477	0.16588995
478	0.1658743222
479	0.1658600977
480	0.1655111281
481	0.1653709751
482	0.1653520377
483	0.1653157867
484	0.165299802
485	0.1652938441
486	0.1652660472
487	0.1651959733
488	0.1651870632
489	0.1651700991
490	0.1650895687
491	0.1650826455
492	0.1650550141
493	0.1649094178
494	0.1648635873
495	0.1647918939
496	0.1647849156
497	0.1646822135
498	0.1646763234
499	0.1646493421
500	0.1646192661
501	0.1646095847
502	0.1645475684
503	0.164475764
504	0.1644668785
505	0.1644618329
506	0.1644514291
507	0.1642915231
508	0.1642474035
509	0.1641185487
510	0.1640330611
511	0.1639965431
512	0.1639846796
513	0.1639760404
514	0.1639410798
515	0.1639213528
516	0.1638572824
517	0.1637981231
518	0.1637701709
519	0.1637374881
520	0.1636907587
521	0.1636818011
522	0.1636761731
523	0.163670701
524	0.1635439659
525	0.1635413248
526	0.1635383026
527	0.1632226968
528	0.1630450825
529	0.162997613
530	0.1629819586
531	0.1629644042
532	0.1629487291
533	0.1629423633
534	0.1629398254
535	0.162916029
536	0.1628696985
537	0.1627034341
538	0.162697519
539	0.1626908966
540	0.1626859975
541	0.1625850004
542	0.1625613396
543	0.162553914
544	0.1625484372
545	0.1625467818
546	0.1625451598
547	0.16251721
548	0.1624692995
549	0.1624639919
550	0.1623976468
551	0.1622853892
552	0.1622684964
553	0.1622530166
554	0.1621298341
555	0.1621225378
556	0.1621012579
557	0.1619953934
558	0.1619155442
559	0.1618891379
560	0.1618824763
561	0.1618181917
562	0.1618133147
563	0.1617798389
564	0.1617745046
565	0.1617697151
566	0.161734484
567	0.1617002768
568	0.1616739384
569	0.1616691658
570	0.1616632303
571	0.1616587411
572	0.1616169897
573	0.1616028044
574	0.1615977673
575	0.1615938886
576	0.1614352576
577	0.1613355015
578	0.1613215056
579	0.1613156499
580	0.1613116841
581	0.1613005412
582	0.1612821021
583	0.1612624517
584	0.1611736267
585	0.1611672578
586	0.1611633693
587	0.1610830268
588	0.1610758544
589	0.1610716924
590	0.1610579338
591	0.1610331658
592	0.160970983
593	0.1609660883
594	0.1608735864
595	0.1608549864
596	0.1607270355
597	0.1607145878
598	0.160449164
599	0.1603089526
600	0.1602909388
601	0.1602502549
602	0.1602448411
603	0.1602414048
604	0.160022108
605	0.1600158799
606	0.1598820554
607	0.1598775522
608	0.1598364243
609	0.1598147446
610	0.1597986057
611	0.1597310889
612	0.1597181471
613	0.1597133324
614	0.1596967956
615	0.1596918641
616	0.1596692994
617	0.1594565441
618	0.159442788
619	0.1594382378
620	0.1594224822
621	0.1594153812
622	0.1594109782
623	0.1591976639
624	0.1591926109
625	0.1591775327
626	0.1591715253
627	0.15915025
628	0.159139997
629	0.1591368512
630	0.1591312676
631	0.1590939045
632	0.1590907363
633	0.1590770905
634	0.1588238918
635	0.158654402
636	0.1585764063
637	0.1585227152
638	0.1585187785
639	0.1585160768
640	0.1585033014
641	0.158499079
642	0.1584827159
643	0.1584167311
644	0.1584025645
645	0.1583910908
646	0.1582285016
647	0.1582256722
648	0.1582213927
649	0.1581299768
650	0.1581259121
651	0.1581215739
652	0.1581200665
653	0.1581175281
654	0.1581148445
655	0.1580681707
656	0.158066343
657	0.1580630243
658	0.1580604311
659	0.1580293588
660	0.1580268047
661	0.1580241063
662	0.1579084195
663	0.1578190321
664	0.1578159419
665	0.1578129706
666	0.1577424252
667	0.1577358565
668	0.1577258588
669	0.1577244996
670	0.1577172447
671	0.1577141621
672	0.1577062218
673	0.1577022963
674	0.1576995556
675	0.1576978689
676	0.1576879857
677	0.1575697545
678	0.1574943891
679	0.1574853323
680	0.1574728807
681	0.1571008066
682	0.1570976365
683	0.157095584
684	0.1570843984
685	0.1570218389
686	0.1569073731
687	0.1568988836
688	0.1568480563
689	0.1568445482
690	0.1568378506
691	0.1568352335
692	0.1568013328
693	0.156798099
694	0.1567862223
695	0.1566602665
696	0.1565404991
697	0.1564734428
698	0.1564666896
699	0.1562549091
700	0.1562164119
701	0.1561480161
702	0.1561300409
703	0.1561065983
704	0.1560798099
705	0.1560788448
706	0.1559935854
707	0.1559892294
708	0.1559855648
709	0.1557552076
710	0.1556763716
711	0.1556673213
712	0.1556659594
713	0.155631628
714	0.1556289889
715	0.1556192857
716	0.1555898024
717	0.1553235871
718	0.1553089778
719	0.1552820191
